"","SurveyID","SurveyDate","StreamName","SpeciesAbbr","LiveTotal","RunYear"
"1",274595,"10/06/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"2",274598,"10/20/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",5,2010
"3",274598,"10/20/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","COHO",35,2010
"4",274600,"10/27/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",9,2010
"5",274605,"11/05/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"6",274607,"11/10/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",34,2010
"7",274609,"11/12/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",28,2010
"8",274611,"11/16/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",23,2010
"9",274614,"11/22/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",10,2010
"10",274617,"11/29/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",42,2010
"11",274619,"12/02/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",40,2010
"12",274620,"12/06/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",30,2010
"13",274623,"12/17/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"14",274624,"12/22/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"15",274625,"12/30/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"16",274626,"10/27/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",NA,2010
"17",274627,"11/05/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",10,2010
"18",274628,"11/10/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"19",274629,"11/17/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",16,2010
"20",274630,"11/22/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",6,2010
"21",274631,"11/30/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"22",274632,"12/07/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"23",274633,"12/15/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",1,2010
"24",274634,"12/30/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"25",274634,"12/30/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","COHO",0,2010
"26",274685,"10/29/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",47,2010
"27",274685,"10/29/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHIN",1,2010
"28",274689,"11/08/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",109,2010
"29",274690,"11/09/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",27,2010
"30",274691,"11/12/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",111,2010
"31",274691,"11/12/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","COHO",0,2010
"32",274692,"11/22/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"33",274693,"11/29/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",0,2010
"34",274694,"12/02/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",10,2010
"35",274695,"12/06/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",3,2010
"36",274704,"11/08/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",36,2010
"37",274707,"11/12/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",89,2010
"38",274711,"11/22/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",60,2010
"39",274715,"11/29/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",47,2010
"40",274718,"12/02/2010","Snohomish R. Cont. As Skykomish R. @ R.M. 20.51","CHUM",36,2010
