"","SurveyID","SurveyDate","Species","RunYear","LiveTotal","DeadTotal","StreamName"
"1",200269,"10/31/2001","Coho Salmon",2001,10,NA,"Sky Slough (LB)"
"2",200276,"10/31/2001","Coho Salmon",2001,8,NA,"Sky Slough A"
"3",201784,"11/26/2001","Coho Salmon",2001,2,5,"Sky Slough (LB)"
"4",201806,"11/26/2001","Coho Salmon",2001,6,7,"Sky Slough A"
"5",202999,"12/12/2001","Coho Salmon",2001,2,4,"Sky Slough (LB)"
"6",203009,"12/12/2001","Coho Salmon",2001,11,7,"Sky Slough A"
"7",203875,"12/29/2001","Coho Salmon",2001,0,3,"Sky Slough (LB)"
"8",203877,"12/29/2001","Coho Salmon",2001,14,26,"Sky Slough A"
"9",204508,"01/16/2002","Coho Salmon",2001,0,5,"Sky Slough (LB)"
"10",204510,"01/16/2002","Coho Salmon",2001,0,48,"Sky Slough A"
"11",209108,"11/06/2002","Chum Salmon",2002,400,8,"Sky Slough (LB)"
"12",209108,"11/06/2002","Coho Salmon",2002,13,NA,"Sky Slough (LB)"
"13",209117,"11/06/2002","Coho Salmon",2002,NA,0,"Sky Slough A"
"14",209118,"11/06/2002","Chum Salmon",2002,NA,0,"Sky Slough A"
"15",209119,"11/06/2002","Chum Salmon",2002,NA,0,"Sky Slough B"
"16",209119,"11/06/2002","Coho Salmon",2002,NA,0,"Sky Slough B"
"17",209120,"11/06/2002","Chum Salmon",2002,NA,0,"Sky Slough B"
"18",209121,"11/06/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"19",209453,"11/13/2002","Chum Salmon",2002,516,19,"Sky Slough (LB)"
"20",209453,"11/13/2002","Coho Salmon",2002,17,2,"Sky Slough (LB)"
"21",209474,"11/13/2002","Coho Salmon",2002,NA,0,"Sky Slough A"
"22",209475,"11/13/2002","Chum Salmon",2002,100,NA,"Sky Slough A"
"23",209476,"11/13/2002","Coho Salmon",2002,NA,0,"Sky Slough B"
"24",209477,"11/13/2002","Chum Salmon",2002,NA,0,"Sky Slough B"
"25",209478,"11/13/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"26",209478,"11/13/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"27",210320,"11/26/2002","Chum Salmon",2002,460,140,"Sky Slough (LB)"
"28",210320,"11/26/2002","Coho Salmon",2002,0,3,"Sky Slough (LB)"
"29",210337,"11/26/2002","Coho Salmon",2002,2,NA,"Sky Slough A"
"30",210338,"11/26/2002","Chum Salmon",2002,350,116,"Sky Slough A"
"31",210339,"11/26/2002","Coho Salmon",2002,NA,0,"Sky Slough B"
"32",210340,"11/26/2002","Chum Salmon",2002,188,143,"Sky Slough B"
"33",210341,"11/26/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"34",210341,"11/26/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"35",210852,"12/05/2002","Chum Salmon",2002,395,250,"Sky Slough (LB)"
"36",210852,"12/05/2002","Coho Salmon",2002,3,6,"Sky Slough (LB)"
"37",210873,"12/05/2002","Coho Salmon",2002,49,3,"Sky Slough A"
"38",210874,"12/05/2002","Chum Salmon",2002,760,211,"Sky Slough A"
"39",210875,"12/05/2002","Coho Salmon",2002,46,NA,"Sky Slough B"
"40",210876,"12/05/2002","Chum Salmon",2002,730,260,"Sky Slough B"
"41",210877,"12/05/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"42",210877,"12/05/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"43",211297,"12/12/2002","Chum Salmon",2002,280,305,"Sky Slough (LB)"
"44",211297,"12/12/2002","Coho Salmon",2002,0,5,"Sky Slough (LB)"
"45",211312,"12/12/2002","Coho Salmon",2002,72,21,"Sky Slough A"
"46",211313,"12/12/2002","Chum Salmon",2002,890,386,"Sky Slough A"
"47",211314,"12/12/2002","Coho Salmon",2002,37,16,"Sky Slough B"
"48",211315,"12/12/2002","Chum Salmon",2002,820,311,"Sky Slough B"
"49",211316,"12/12/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"50",211316,"12/12/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"51",211679,"12/19/2002","Chum Salmon",2002,164,220,"Sky Slough (LB)"
"52",211679,"12/19/2002","Coho Salmon",2002,2,4,"Sky Slough (LB)"
"53",211696,"12/19/2002","Coho Salmon",2002,78,11,"Sky Slough A"
"54",211697,"12/19/2002","Chum Salmon",2002,420,616,"Sky Slough A"
"55",211698,"12/19/2002","Coho Salmon",2002,14,26,"Sky Slough B"
"56",211699,"12/19/2002","Chum Salmon",2002,228,1009,"Sky Slough B"
"57",211700,"12/19/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"58",211700,"12/19/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"59",211969,"12/26/2002","Chum Salmon",2002,85,280,"Sky Slough (LB)"
"60",211969,"12/26/2002","Coho Salmon",2002,0,2,"Sky Slough (LB)"
"61",211981,"12/26/2002","Coho Salmon",2002,28,71,"Sky Slough A"
"62",211982,"12/26/2002","Chum Salmon",2002,211,570,"Sky Slough A"
"63",211983,"12/26/2002","Coho Salmon",2002,17,31,"Sky Slough B"
"64",211984,"12/26/2002","Chum Salmon",2002,119,1120,"Sky Slough B"
"65",211985,"12/26/2002","Chum Salmon",2002,NA,0,"Sky Slough C"
"66",211985,"12/26/2002","Coho Salmon",2002,NA,0,"Sky Slough C"
"67",212226,"01/01/2003","Chum Salmon",2002,4,215,"Sky Slough (LB)"
"68",212226,"01/01/2003","Coho Salmon",2002,NA,0,"Sky Slough (LB)"
"69",212227,"01/01/2003","Coho Salmon",2002,0,28,"Sky Slough A"
"70",212228,"01/01/2003","Chum Salmon",2002,2,520,"Sky Slough A"
"71",212229,"01/01/2003","Coho Salmon",2002,0,43,"Sky Slough B"
"72",212230,"01/01/2003","Chum Salmon",2002,0,1100,"Sky Slough B"
"73",212231,"01/01/2003","Coho Salmon",2002,NA,0,"Sky Slough C"
"74",212502,"01/09/2003","Coho Salmon",2002,NA,0,"Sky Slough (LB)"
"75",212503,"01/09/2003","Coho Salmon",2002,0,11,"Sky Slough A"
"76",212504,"01/09/2003","Coho Salmon",2002,0,14,"Sky Slough B"
"77",212505,"01/09/2003","Coho Salmon",2002,NA,0,"Sky Slough C"
"78",274635,"10/26/2010","Chum Salmon",2010,89,0,"Sky Slough (LB)"
"79",274635,"10/26/2010","Chinook Salmon",2010,0,0,"Sky Slough (LB)"
"80",274636,"11/03/2010","Chum Salmon",2010,146,13,"Sky Slough (LB)"
"81",274637,"11/10/2010","Chum Salmon",2010,401,44,"Sky Slough (LB)"
"82",274638,"12/01/2010","Chum Salmon",2010,170,275,"Sky Slough (LB)"
"83",274639,"12/07/2010","Chum Salmon",2010,93,270,"Sky Slough (LB)"
"84",274641,"12/17/2010","Chum Salmon",2010,11,7,"Sky Slough (LB)"
"85",274643,"01/06/2010","Chum Salmon",2009,0,15,"Sky Slough (LB)"
"86",274643,"01/06/2010","Coho Salmon",2009,0,1,"Sky Slough (LB)"
"87",274767,"11/10/2010","Chum Salmon",2010,43,20,"Sky Slough A"
"88",274765,"10/26/2010","Chum Salmon",2010,2,0,"Sky Slough A"
