WKT,name,Lat,Long
"POINT (-122.0320807 47.8220431)",Point 1,47.82204,-122.03208
"POINT (-122.0254289 47.8208905)",Point 2,47.82089,-122.02542
"POINT (-122.0189486 47.8234262)",Point 3,47.82342,-122.01894
"POINT (-122.0135413 47.8252991)",Point 4,47.82529,-122.01354
"POINT (-122.0019542 47.8267398)",Point 5,47.82673,-122.00195
"POINT (-121.995189 47.8292558)",Point 6,47.82925,-121.99518
"POINT (-121.9943307 47.8353057)",Point 7,47.8353,-121.99433
"POINT (-121.9895241 47.839281)",Point 8,47.83928,-121.98952
"POINT (-121.9793103 47.8411245)",Point 9,47.84112,-121.97931
"POINT (-121.9727013 47.845733)",Point 10,47.84573,-121.9727
"POINT (-121.9670365 47.8478067)",Point 11,47.8478,-121.96703
"POINT (-121.9612 47.8508595)",Point 12,47.85085,-121.9612
"POINT (-121.9532178 47.8553519)",Point 13,47.85535,-121.95321
"POINT (-121.9451971 47.8541872)",Point 14,47.85418,-121.94519
"POINT (-121.9400473 47.8507314)",Point 15,47.85073,-121.94004
"POINT (-121.93361 47.8482546)",Point 16,47.84825,-121.9336
"POINT (-121.9294901 47.8469874)",Point 17,47.84698,-121.92949
"POINT (-121.9238253 47.8449137)",Point 18,47.84491,-121.92382
"POINT (-121.9171305 47.8427247)",Point 19,47.84272,-121.91713
"POINT (-121.9106383 47.8492154)",Point 20,47.84921,-121.91063
"POINT (-121.9042868 47.853708)",Point 21,47.8537,-121.90428
"POINT (-121.898107 47.8546295)",Point 22,47.85462,-121.8981
"POINT (-121.8902964 47.8519225)",Point 23,47.85192,-121.89029
"POINT (-121.8806834 47.8477178)",Point 24,47.84771,-121.88068
"POINT (-121.8718428 47.8458745)",Point 25,47.84587,-121.87184
"POINT (-121.8657488 47.8451257)",Point 26,47.84512,-121.86574
"POINT (-121.8607706 47.8436279)",Point 27,47.84362,-121.86077
"POINT (-121.8565649 47.8393073)",Point 28,47.8393,-121.85656
"POINT (-121.8513352 47.8380698)",Point 29,47.83806,-121.85133
"POINT (-121.8456704 47.8430242)",Point 30,47.84302,-121.84567
"POINT (-121.8416364 47.8472869)",Point 31,47.84728,-121.84163
"POINT (-121.8352849 47.8494182)",Point 32,47.84941,-121.83528
"POINT (-121.8282468 47.848439)",Point 33,47.84843,-121.82824
"POINT (-121.8218095 47.8516069)",Point 34,47.8516,-121.8218
"POINT (-121.8213976 47.8572511)",Point 35,47.85725,-121.82139
"POINT (-121.814617 47.8603609)",Point 36,47.86036,-121.81461
"POINT (-121.8062056 47.8595547)",Point 37,47.85955,-121.8062
"POINT (-121.7977083 47.8593243)",Point 38,47.85932,-121.7977
"POINT (-121.792816 47.859785)",Point 39,47.85978,-121.79281
"POINT (-121.7832459 47.8599002)",Point 40,47.8599,-121.78324
"POINT (-121.7766369 47.8603609)",Point 41,47.86036,-121.77663
"POINT (-121.7660797 47.8595547)",Point 42,47.85955,-121.76607
"POINT (-121.7586332 47.8580003)",Point 43,47.858,-121.75863
"POINT (-121.7510801 47.8595552)",Point 44,47.85955,-121.75108
"POINT (-121.7418962 47.8588066)",Point 45,47.8588,-121.74189
"POINT (-121.7283038 47.8556077)",Point 46,47.8556,-121.7283
"POINT (-121.7173175 47.8542254)",Point 47,47.85422,-121.71731
"POINT (-121.7088203 47.8560684)",Point 48,47.85606,-121.70882
"POINT (-121.6999288 47.8545147)",Point 49,47.85451,-121.69992
"POINT (-121.6952081 47.8482942)",Point 50,47.84829,-121.6952
"POINT (-121.6937232 47.8435894)",Point 51,47.84358,-121.69372
"POINT (-121.6850543 47.8399025)",Point 52,47.8399,-121.68505
"POINT (-121.6701197 47.8392111)",Point 53,47.83921,-121.67011
"POINT (-121.6628627 47.8344742)",Point 54,47.83447,-121.66286
"POINT (-121.6554813 47.8400626)",Point 55,47.84006,-121.65548
"POINT (-121.6482715 47.8356265)",Point 56,47.83562,-121.64827
"POINT (-121.6390558 47.8396558)",Point 57,47.83965,-121.63905
"POINT (-121.626782 47.8376394)",Point 58,47.83763,-121.62678
"POINT (-121.6174265 47.8373513)",Point 59,47.83735,-121.61742
"POINT (-121.61159 47.8367176)",Point 60,47.83671,-121.61158
"POINT (-121.6118475 47.8322811)",Point 61,47.83228,-121.61184
"POINT (-121.6172548 47.8292273)",Point 62,47.82922,-121.61725
"POINT (-121.6168257 47.8256546)",Point 63,47.82565,-121.61682
"POINT (-121.6092557 47.8204104)",Point 64,47.82041,-121.60925
"POINT (-121.6027326 47.8174135)",Point 65,47.81741,-121.60273
"POINT (-121.5953511 47.8155115)",Point 66,47.81551,-121.59535
"POINT (-121.5903729 47.8174711)",Point 67,47.81747,-121.59037
"POINT (-121.5852231 47.8148198)",Point 68,47.81481,-121.58522
"POINT (-121.5801591 47.8136094)",Point 69,47.8136,-121.58015
